from,to,year,relation,land,wvb
Aerospace_Medical_Division,US_Air_Force,4,place,2,0
Apollo_Programm,Marshall_Space_Flight_Center,4,mission,2,0
Apollo_Programm,Cape_Canaveral,4,place,2,0
Apollo_Programm,Huntsville,4,place,2,0
Apollo_Programm,Kennedy_Space_Center,4,place,2,0
Arthur_Rudolph,Lyndon_B_Johnson_Space_Center,4,function,2,0
Arthur_Rudolph,Marshall_Space_Flight_Center,4,function,2,0
Arthur_Rudolph,National_Aeronautics_and_Space_Administration,4,function,2,0
Arthur_Rudolph,Saturn_V,4,mission,2,0
Arthur_Rudolph,Houston,4,place,2,0
Arthur_Rudolph,Huntsville,4,place,2,0
Bell_Air_Craft_Corporation,Buffalo,4,place,2,0
Bernhard_Tessmann,National_Aeronautics_and_Space_Administration,4,function,2,0
Bernhard_Tessmann,Huntsville,4,place,2,0
Convair_Company,San_Diego,4,place,2,0
Dieter_Huzel,North_American_Aviation,4,function,2,0
Dieter_Huzel,Los_Angeles,4,place,2,0
Eberhard_Rees,National_Aeronautics_and_Space_Administration,4,function,2,0
Eberhard_Rees,Huntsville,4,place,2,0
Ernst_Stuhlinger,Marshall_Space_Flight_Center,4,function,2,0
Ernst_Stuhlinger,National_Aeronautics_and_Space_Administration,4,function,2,0
Ernst_Stuhlinger,Huntsville,4,place,2,0
Future_Launch_Systems_Study_Office,Huntsville,4,place,2,0
Gemini,Huntsville,4,place,2,0
Georg_von_Tiesenhausen,National_Aeronautics_and_Space_Administration,4,function,2,0
Georg_von_Tiesenhausen,Apollo_Programm,4,mission,2,0
Georg_von_Tiesenhausen,Saturn_V,4,mission,2,0
Georg_von_Tiesenhausen,Future_Launch_Systems_Study_Office,4,place,2,0
Georg_von_Tiesenhausen,Huntsville,4,place,2,0
Hermann_Oberth,Convair_Company,4,function,2,0
Hermann_Oberth,Nationaldemokratische_Partei_Deutschland,4,function,1,0
Hermann_Oberth,San_Diego,4,place,2,0
Hubertus_Strughold,Aerospace_Medical_Division,4,function,2,0
Hubertus_Strughold,National_Aeronautics_and_Space_Administration,4,function,2,0
Hubertus_Strughold,Apollo_Programm,4,mission,2,0
Hubertus_Strughold,Gemini,4,mission,2,0
Hubertus_Strughold,Huntsville,4,place,2,0
Hubertus_Strughold,US_Air_Force,4,place,2,0
Joachim_Kuettner,Kennedy_Space_Center,4,function,2,0
Joachim_Kuettner,Apollo_Programm,4,mission,2,0
Joachim_Kuettner,Mercury,4,mission,2,0
Joachim_Kuettner,Huntsville,4,place,2,0
John_F_Kennedy,Cape_Canaveral,4,place,2,0
John_F_Kennedy,Huntsville,4,place,2,0
Kennedy_Space_Center,Cape_Canaveral,4,place,2,0
Kennedy_Space_Center,Huntsville,4,place,2,0
Konrad_Dannenberg,Marshall_Space_Flight_Center,4,function,2,0
Konrad_Dannenberg,National_Aeronautics_and_Space_Administration,4,function,2,0
Konrad_Dannenberg,Saturn_V,4,mission,2,0
Konrad_Dannenberg,Huntsville,4,place,2,0
Kurt_Debus,Kennedy_Space_Center,4,function,2,0
Kurt_Debus,National_Aeronautics_and_Space_Administration,4,function,2,0
Kurt_Debus,Apollo_Programm,4,mission,2,0
Kurt_Debus,Cape_Canaveral,4,place,2,0
Lyndon_B_Johnson_Space_Center,Houston,4,place,2,0
Marshall_Space_Flight_Center,Huntsville,4,place,2,0
Mercury,Huntsville,4,place,2,0
National_Aeronautics_and_Space_Administration,Houston,4,place,2,0
National_Aeronautics_and_Space_Administration,Huntsville,4,place,2,0
National_Aeronautics_and_Space_Administration,Kennedy_Space_Center,4,place,2,0
National_Institute_of_Standards_and_Technology,Gaithersburg,4,place,2,0
Nationaldemokratische_Partei_Deutschland,Hannover,4,place,1,0
North_American_Aviation,Los_Angeles,4,place,2,0
Saturn_V,Kennedy_Space_Center,4,mission,2,0
Saturn_V,Marshall_Space_Flight_Center,4,mission,2,0
Saturn_V,Cape_Canaveral,4,place,2,0
Saturn_V,Huntsville,4,place,2,0
Theodor_Benzinger,National_Institute_of_Standards_and_Technology,4,function,2,0
Theodor_Benzinger,Gaithersburg,4,place,2,0
Walter_Dornberger,Bell_Air_Craft_Corporation,4,function,2,0
Walter_Dornberger,Buffalo,4,place,2,0
Wernher_von_Braun,Arthur_Rudolph,4,function,2,1
Wernher_von_Braun,Bernhard_Tessmann,4,function,2,1
Wernher_von_Braun,Ernst_Stuhlinger,4,function,2,1
Wernher_von_Braun,Georg_von_Tiesenhausen,4,function,2,1
Wernher_von_Braun,John_F_Kennedy,4,function,2,1
Wernher_von_Braun,Kennedy_Space_Center,4,function,2,1
Wernher_von_Braun,Konrad_Dannenberg,4,function,2,1
Wernher_von_Braun,Kurt_Debus,4,function,2,1
Wernher_von_Braun,Lyndon_B_Johnson_Space_Center,4,function,2,1
Wernher_von_Braun,Marshall_Space_Flight_Center,4,function,2,1
Wernher_von_Braun,National_Aeronautics_and_Space_Administration,4,function,2,1
Wernher_von_Braun,Apollo_Programm,4,mission,2,1
Wernher_von_Braun,Gemini,4,mission,2,1
Wernher_von_Braun,Mercury,4,mission,2,1
Wernher_von_Braun,Saturn_V,4,mission,2,1
Wernher_von_Braun,Houston,4,place,2,1
Wernher_von_Braun,Huntsville,4,place,2,1
